,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,uid,api,postId,is_relevant_c3,is_relevant_c2,is_relevant_c1,sentiment_label,sentence,association,resolutions,lexicons,finals,isAlgoRelevant
0,0,0,0,8817391=>9188731=>a=>JAVA3,xstream,comment_1_25132841,1,1,1,n,"FYI, I had the exact same problem and this solution worked for me.",,,,1,1
1,1,1,1,8817391=>9188731=>a=>JAVA3,xstream,comment_2_25133027,1,1,1,o,"edit: One more update, for Xstream 1.2.2 I had to do this: xstream.addImplicitCollection(SimplePerson.class, ""cars"", String.class);.",,xstream=>xstream,,0,0
2,2,2,2,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_1_22661956,0,0,0,o,OK.,,,,0,0
3,3,3,3,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_1_22661956,Page not found,page not found,0,o,Here is what I want to do.,,,,0,0
4,4,4,4,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_1_22661956,Page not found,page not found,0,o,I need to send the following as http request.,,,,0,0
5,5,5,5,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_1_22661956,Page not found,page not found,1,p,"""address"": { ""address1"": ""9100 hopkins bulvard hopkins bulvard bulvard"", ""address2"": ""6700 hopkins bulvard hopkins bulvard bulvard"", ""city"": ""HOPKINS"", ""county"": ""Scott"", ""postalCode"": ""55379"", ""state"": ""VA"" } How do I accomplish this using JSONArray and JSONObject?",,,,CONFLICT,1
6,6,6,6,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_2_22661982,Page not found,page not found,0,o,Have you read anything about these technologies or checked the documentation?,,,,0,0
7,7,7,7,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_3_22662148,Page not found,page not found,0,o,Are you referring to a post or a put ?,,,,0,0
8,8,8,8,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_3_22662148,Page not found,page not found,0,o,Http request is quite broad.,,,,0,0
9,9,9,9,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_4_22662169,Page not found,page not found,0,o,Is it just me or you're never adding anything to your jsonAddressArray ?,,,,0,0
10,10,10,10,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_5_22662206,Page not found,page not found,1,p,I do not want to send harcoded values to any of the fields.,,,,1,1
11,11,11,11,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_5_22662206,Page not found,page not found,0,o,I want the address to be fetched from the EditText.,,,,0,0
12,12,12,12,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_5_22662206,Page not found,page not found,0,o,That is the reason i used txtAddress1.getText().toString().,,,,0,0
13,13,13,13,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_6_22662220,Page not found,page not found,0,o,it is a put method.,,,,0,0
14,14,14,14,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_7_22662231,Page not found,page not found,0,o,Yeh your right...it's from the original code.,,,,0,0
15,15,15,15,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_8_22663796,Page not found,page not found,0,o,"You should point that you have moved the JSONObject jsonAddressObj 
new JSONObject(); in the loop to create a new adress each time, because I don't think he will notice that.",,,,0,0
16,16,16,16,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_8_22663796,Page not found,page not found,0,o,"And mention that you're usign a different library, because he will ask why he can't have access to jsonAddressArray.add(jsonAddressObj);.",,,,0,0
17,17,17,17,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_8_22663796,Page not found,page not found,1,p,But +1 for everything else!.,,,,1,1
18,18,18,18,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_9_22663975,Page not found,page not found,0,o,"Yeh, I got the feeling we're not using the same library.",,,,0,0
19,19,19,19,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_9_22663975,Page not found,page not found,1,p,"Thanks, and it's good your pointing that out.",,,good,1,1
20,20,20,20,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_9_22663975,Page not found,page not found,0,o,I've uploaded the eclipse project to URL_https://dl.dropbox.com/u/6465647/InsertJsonExample.zip as I decided I'll make an online tutorial on my blog with this example.,,,,0,0
21,21,21,21,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_10_22664746,Page not found,page not found,0,o,I did take out the for loop.,,,,0,0
22,22,22,22,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_10_22664746,Page not found,page not found,1,o,That helped me.,,,,0,0
23,23,23,23,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_10_22664746,Page not found,page not found,0,p,I just put the values to my jsonAddressObj.,,,,1,1
24,24,24,24,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_10_22664746,Page not found,page not found,0,o,Passed the jsonAddressObj to jsonObjSend.,,,,0,0
25,25,25,25,15911250=>15911410=>a=>JAVA3,net.sf.json,comment_10_22664746,Page not found,page not found,1,o,That did that work for me.,,,,0,0
26,26,26,26,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_1_17192096,1,1,1,o,-1: net.sf.json.JSONObject doesn't have a String constructor.,,,,0,0
27,27,27,27,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_1_17192096,1,1,1,n,URL_http://json-lib.sourceforge.net/apidocs/jdk15/net/sf/json/JSONObject.html .,url_http://json-lib.sourceforge.net/apidocs/jdk15/net/sf/json=>json-lib,url_http://json-lib.sourceforge.net/apidocs/jdk15/net/sf/json=>json-lib,,1,1
28,28,28,28,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_2_17208191,1,0,1,n,I'm realllly sorry!,url_http://json-lib.sourceforge.net/apidocs/jdk15/net/sf/json=>json-lib,,sorry,1,1
29,29,29,29,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_2_17208191,1,0,0,o,I take it back.,,,,0,0
30,30,30,30,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_2_17208191,1,0,0,n,Oh my bad!,,,bad,1,1
31,31,31,31,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_2_17208191,1,1,0,n,I just confused org.codehaus.jettison.json.JSONObject with net.sf.json.JSONObject .,,,confused,1,1
32,32,32,32,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_2_17208191,1,0,1,p,Thanks anyway for pointing that out.,,,,1,1
33,33,33,33,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_2_17208191,1,1,1,n,@David Grant is correct and I'm wrong.,,,"wrong,correct",1,1
34,34,34,34,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_2_17208191,1,1,1,n,Guys sorry for the wrong information.,,,"sorry,wrong",1,1
35,35,35,35,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_3_17208277,1,1,1,p,I just corrected it.,,,correct,CONFLICT,1
36,36,36,36,12727742=>12727951=>a=>JAVA5,net.sf.json,comment_3_17208277,1,1,1,p,I hope this helps.,,,,1,1
37,37,37,37,12727742=>12727951=>a=>JAVA8,net.sf.json,comment_1_17192096,1,1,1,o,-1: net.sf.json.JSONObject doesn't have a String constructor.,,,,0,0
38,38,38,38,12727742=>12727951=>a=>JAVA8,net.sf.json,comment_1_17192096,1,1,1,n,URL_http://json-lib.sourceforge.net/apidocs/jdk15/net/sf/json/JSONObject.html .,url_http://json-lib.sourceforge.net/apidocs/jdk15/net/sf/json=>json-lib,url_http://json-lib.sourceforge.net/apidocs/jdk15/net/sf/json=>json-lib,,0,1
39,39,39,39,12727742=>12727951=>a=>JAVA8,net.sf.json,comment_2_17208191,1,0,1,n,I'm realllly sorry!,url_http://json-lib.sourceforge.net/apidocs/jdk15/net/sf/json=>json-lib,,sorry,CONFLICT,1
40,40,40,40,12727742=>12727951=>a=>JAVA8,net.sf.json,comment_2_17208191,1,0,0,o,I take it back.,,,,0,0
41,41,41,41,12727742=>12727951=>a=>JAVA8,net.sf.json,comment_2_17208191,1,0,0,n,Oh my bad!,,,bad,CONFLICT,1
42,42,42,42,12727742=>12727951=>a=>JAVA8,net.sf.json,comment_2_17208191,1,1,1,n,I just confused org.codehaus.jettison.json.JSONObject with net.sf.json.JSONObject .,,,confused,1,1
